image,boxes0,boxes1,boxes2,boxes3,boxes4
IMG_1027.jpg.4b38c52b.ingestion-55b478f466-cp67z.jpg,0.0,0.0,496.0,633.0,1.0
,120.0,97.0,162.0,137.0,0.3142487406730652
,58.0,264.0,139.0,320.0,0.3554877042770386
,4.0,95.0,57.0,156.0,0.36564359068870544
,163.0,40.0,234.0,77.0,0.3668209910392761
,86.0,78.0,130.0,113.0,0.37470054626464844
,328.0,320.0,388.0,376.0,0.39836278557777405
,401.0,399.0,462.0,453.0,0.4045352339744568
,236.0,291.0,288.0,339.0,0.4630202651023865
,-1.0,373.0,18.0,414.0,0.4864758849143982
,0.0,536.0,39.0,583.0,0.5281795263290405
,50.0,206.0,95.0,250.0,0.5369036793708801
,0.0,577.0,66.0,640.0,0.6003007292747498
,13.0,83.0,68.0,127.0,0.6212441921234131
,135.0,129.0,197.0,186.0,0.6480251550674438
,387.0,473.0,477.0,550.0,0.6655130982398987
,126.0,175.0,175.0,223.0,0.6788662672042847
,38.0,133.0,92.0,184.0,0.6930586099624634
,0.0,115.0,46.0,161.0,0.6993851661682129
,135.0,0.0,194.0,40.0,0.7152759432792664
,56.0,253.0,112.0,292.0,0.7554044723510742
,216.0,210.0,273.0,260.0,0.765710175037384
,83.0,213.0,131.0,258.0,0.767745316028595
,197.0,40.0,240.0,79.0,0.7917234897613525
,162.0,40.0,201.0,75.0,0.7982639074325562
,84.0,146.0,140.0,195.0,0.8067861795425415
,181.0,329.0,249.0,387.0,0.8135650753974915
,145.0,316.0,208.0,376.0,0.8202510476112366
,158.0,189.0,222.0,248.0,0.8516783118247986
,0.0,409.0,45.0,474.0,0.8545175194740295
,332.0,540.0,416.0,614.0,0.8731688857078552
,95.0,270.0,159.0,324.0,0.8764067888259888
,232.0,249.0,290.0,299.0,0.8778135180473328
,251.0,310.0,341.0,384.0,0.8803020119667053
,426.0,429.0,517.0,507.0,0.8921054005622864
,330.0,398.0,417.0,476.0,0.8931861519813538
,114.0,217.0,187.0,280.0,0.9097896814346313
IMG_1015.jpg.4b38c1gs.ingestion-55b478f466-w9ws7.jpg,0.0,0.0,639.0,639.0,1.0
,7.0,555.0,36.0,579.0,0.31756243109703064
,450.0,364.0,476.0,388.0,0.3313028812408447
,592.0,0.0,642.0,32.0,0.3319053053855896
